goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,FW,Aston Villa,Brentford,0,1,2026-02-01,29008,2025,767714,0,0,0,0,0,0,0
0,2,0.629297137260437,90,FW,Brentford,Nottingham Forest,0,2,2026-01-25,29000,2025,766065,0,0,0,0,0.629297137260437,0.5700160264968872,0
0,2,0.16392649710178375,90,FW,Chelsea,Brentford,2,0,2026-01-17,28990,2025,764300,0.1354738026857376,0,1,0,0.16392649710178375,0.30649444460868835,0.08418231457471848
2,6,1.903683066368103,82,FW,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762238,0.5534343123435974,0,2,2,1.903683066368103,2.4571173191070557,0
3,6,2.0407257080078125,90,FW,Everton,Brentford,2,4,2026-01-04,28974,2025,761615,0,0,0,3,2.0407257080078125,2.0407257080078125,0.3101930022239685
0,1,0.14595896005630493,90,FW,Brentford,Tottenham,0,0,2026-01-01,28959,2025,760746,0,0,0,0,0.14595896005630493,0.23935973644256592,0.09340077638626099
0,2,0.2164333611726761,90,FW,Brentford,Bournemouth,4,1,2025-12-27,28949,2025,760082,0.7292850613594055,1,2,0,0.2164333611726761,1.1175957918167114,0.9011624455451965
0,0,0,90,FW,Wolverhampton Wanderers,Brentford,0,2,2025-12-20,28947,2025,759142,0,0,0,0,0,0,0
0,0,0,90,FW,Brentford,Leeds,1,1,2025-12-14,28929,2025,758456,0,0,0,0,0,0,0
0,3,0.4542934000492096,90,FW,Tottenham,Brentford,2,0,2025-12-06,28926,2025,756055,0,0,0,0,0.4542934000492096,0.4542934000492096,0
0,0,0,27,Sub,Arsenal,Brentford,2,0,2025-12-03,28909,2025,755104,0.013391787186264992,0,1,0,0,0.0797552689909935,0.0797552689909935
2,4,1.7647597789764404,90,FW,Brentford,Burnley,3,1,2025-11-29,28899,2025,753606,0,0,0,1,1.0035909414291382,1.0035909414291382,0
1,3,1.9680951833724976,90,FW,Brighton,Brentford,2,1,2025-11-22,28890,2025,752015,0.05800851806998253,0,1,0,0.4457574784755707,0.05800851806998253,0
2,3,1.1803027391433716,90,FW,Brentford,Newcastle United,3,1,2025-11-09,28879,2025,750883,0,0,0,1,0.41913384199142456,0.41913384199142456,0
0,0,0,90,FW,Crystal Palace,Brentford,2,0,2025-11-01,28870,2025,748362,0.0938725471496582,0,1,0,0,0.0938725471496582,0
1,4,1.2811789512634277,90,FW,Brentford,Liverpool,3,2,2025-10-25,28861,2025,746280,0,0,0,0,0.5200101137161255,1.3409326076507568,0.8209224939346313
1,6,1.7423509359359741,90,FW,West Ham,Brentford,0,2,2025-10-20,28857,2025,745362,0,0,0,1,1.7423509359359741,1.4436874389648438,0.2489805817604065
0,2,0.5692212581634521,70,FW,Brentford,Manchester City,0,1,2025-10-05,28841,2025,743364,0,0,0,0,0.5692212581634521,0.5692212581634521,0
2,3,0.9296512603759766,90,FW,Brentford,Manchester United,3,1,2025-09-27,28828,2025,740352,0,0,0,2,0.9296512603759766,0.9296512603759766,0
0,1,0.06035369634628296,70,FW,Fulham,Brentford,3,1,2025-09-20,28825,2025,739018,0,0,0,0,0.06035369634628296,0.06035369634628296,0
0,0,0,73,FW,Brentford,Chelsea,2,2,2025-09-13,28815,2025,737282,0.14841710031032562,0,1,0,0,0.3195877969264984,0.1711706966161728
1,1,0.3706037104129791,90,FW,Sunderland,Brentford,2,1,2025-08-30,28801,2025,735092,0.09696149826049805,0,1,1,0.3706037104129791,0.4675652086734772,0
0,3,0.19428464770317078,90,FW,Brentford,Aston Villa,1,0,2025-08-23,28790,2025,733237,0.399488627910614,0,1,0,0.19428464770317078,0.5795257687568665,0.029967214912176132
1,2,0.8842360973358154,90,FW,Nottingham Forest,Brentford,3,1,2025-08-17,28785,2025,732272,0.043761223554611206,0,1,0,0.12306726723909378,0.1668284833431244,0
0,1,0.02077350951731205,9,Sub,Wolverhampton Wanderers,Brentford,1,1,2025-05-25,26978,2024,730092,0,0,0,0,0.02077350951731205,0.02077350951731205,0
0,0,0,11,Sub,Brentford,Fulham,2,3,2025-05-18,26964,2024,728509,0,0,0,0,0,0,0
0,0,0,3,Sub,Ipswich,Brentford,0,1,2025-05-10,26954,2024,725768,0,0,0,0,0,0,0
0,0,0,6,Sub,Brentford,Manchester United,4,3,2025-05-04,26947,2024,724643,0,0,0,0,0,0,0
0,0,0,76,FW,Brentford,Newcastle United,4,2,2024-12-07,26743,2024,692227,0.04710874333977699,0,1,0,0,0.4910999834537506,0.4439912438392639
0,1,0.08866850286722183,16,Sub,Aston Villa,Brentford,3,1,2024-12-04,26734,2024,691568,0,0,0,0,0.08866850286722183,0.08866850286722183,0
0,0,0,12,Sub,Brentford,Leicester,4,1,2024-11-30,26722,2024,690064,0.06734663248062134,0,1,0,0,0.06734663248062134,0
0,0,0,15,Sub,Everton,Brentford,0,0,2024-11-23,26715,2024,688478,0,0,0,0,0,0,0
