goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,FW,Brighton,Everton,1,1,2026-01-31,29010,2025,767125,0.4608131945133209,0,2,0,0,0.4608131945133209,0.04575290530920029
1,3,0.5306751728057861,90,FW,Everton,Leeds,1,1,2026-01-26,29003,2025,766653,0,0,0,1,0.5306751728057861,0.6085039377212524,0.07782874256372452
1,1,0.46305471658706665,87,FW,Aston Villa,Everton,0,1,2026-01-18,28988,2025,764849,0.07757845520973206,0,1,1,0.46305471658706665,0.5797983407974243,0.03916520997881889
0,1,0.08271537721157074,88,FW,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762179,0,0,0,0,0.08271537721157074,0.20512032508850098,0.12240494787693024
1,2,0.2669999301433563,90,FW,Everton,Brentford,2,4,2026-01-04,28974,2025,761601,0,0,0,1,0.2669999301433563,0.3430536389350891,0.07605370879173279
1,1,0.6024571657180786,86,FW,Nottingham Forest,Everton,0,2,2025-12-30,28965,2025,760581,0.08638129383325577,0,1,1,0.6024571657180786,1.094386339187622,0.4055478572845459
0,1,0.05660230293869972,19,Sub,Burnley,Everton,0,0,2025-12-27,28950,2025,760129,0,0,0,0,0.05660230293869972,0.05660230293869972,0
0,0,0,72,FW,Everton,Arsenal,0,1,2025-12-20,28941,2025,759372,0,0,0,0,0,0,0
0,0,0,71,FW,Chelsea,Everton,2,0,2025-12-13,28931,2025,757638,0,0,0,0,0,0,0
1,1,0.5731766223907471,66,FW,Everton,Nottingham Forest,3,0,2025-12-06,28921,2025,755947,0,0,0,1,0.5731766223907471,0.5731766223907471,0
0,4,0.684968113899231,83,FW,Bournemouth,Everton,0,1,2025-12-02,28908,2025,754980,0.17148719727993011,0,2,0,0.684968113899231,0.7845338582992554,0
0,2,0.1398627609014511,89,FW,Everton,Newcastle United,1,4,2025-11-29,28902,2025,753851,0.023530352860689163,0,1,0,0.1398627609014511,0.07639332860708237,0
0,0,0,85,FW,Manchester United,Everton,0,1,2025-11-24,28895,2025,753187,0,0,0,0,0,0,0
0,2,0.45116278529167175,86,FW,Everton,Fulham,2,0,2025-11-08,28882,2025,750173,0,0,0,0,0.45116278529167175,0.5283384323120117,0.07717563211917877
0,2,0.6725903749465942,59,FW,Sunderland,Everton,1,1,2025-11-03,28875,2025,749610,0,0,0,0,0.6725903749465942,0.68842613697052,0.015835778787732124
0,1,0.023833973333239555,16,Sub,Everton,Tottenham,0,3,2025-10-26,28863,2025,746977,0,0,0,0,0.023833973333239555,0.0777389407157898,0.05390496924519539
0,0,0,13,Sub,Manchester City,Everton,2,0,2025-10-18,28853,2025,744245,0,0,0,0,0,0,0
0,0,0,47,FW,Everton,Crystal Palace,2,1,2025-10-05,28843,2025,742994,0.013946576043963432,0,1,0,0,0.013946576043963432,0
0,0,0,20,Sub,Everton,West Ham,1,1,2025-09-29,28837,2025,741887,0,0,0,0,0,0,0
0,0,0,43,Sub,Liverpool,Everton,2,1,2025-09-20,28818,2025,738335,0,0,0,0,0,0.31301936507225037,0.31301936507225037
0,2,0.1252637356519699,13,Sub,Everton,Aston Villa,0,0,2025-09-13,28812,2025,736973,0,0,0,0,0.1252637356519699,0.1252637356519699,0
0,0,0,11,Sub,Wolverhampton Wanderers,Everton,2,3,2025-08-30,28800,2025,735066,0,0,0,0,0,0,0
0,2,0.5545400381088257,66,FW,Everton,Brighton,2,0,2025-08-24,28795,2025,733834,0,0,0,0,0.5545400381088257,0.7053151726722717,0.7053151726722717
0,0,0,4,Sub,Leeds,Everton,1,0,2025-08-18,28787,2025,732671,0,0,0,0,0,0,0
0,2,0.25285136699676514,90,FW,Villarreal,Sevilla,4,2,2025-05-25,27361,2024,729949,0.5557140111923218,1,2,0,0.25285136699676514,0.8085653781890869,0
0,0,0,39,Sub,Barcelona,Villarreal,2,3,2025-05-18,27343,2024,728651,0,0,0,0,0,0,0
1,2,0.4121309518814087,75,FW,Villarreal,Osasuna,4,2,2025-05-03,27319,2024,724147,0.11159060150384903,0,1,1,0.4121309518814087,0.8996478319168091,0.4875169098377228
0,0,0,90,FW,Villarreal,Espanyol,1,0,2025-04-27,27241,2024,723155,0.09870623797178268,0,2,0,0,0.5877626538276672,0.48905643820762634
0,0,0,69,FW,Celta Vigo,Villarreal,3,0,2025-04-23,27307,2024,721957,0,0,0,0,0,0,0
