goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,5,1.0050392150878906,90,FW,Wolverhampton Wanderers,Bournemouth,0,2,2026-01-31,29017,2025,767172,0,0,0,0,1.0050392150878906,0.6140624284744263,0.06484292447566986
0,1,0.061563145369291306,15,Sub,Manchester City,Wolverhampton Wanderers,2,0,2026-01-24,29005,2025,765680,0,0,0,0,0.061563145369291306,0.09725262224674225,0.03568947687745094
0,1,0.0682300329208374,66,FW,Wolverhampton Wanderers,Newcastle United,0,0,2026-01-18,28997,2025,764680,0,0,0,0,0.0682300329208374,0.13171368837356567,0.06348366290330887
0,3,0.15248320996761322,90,FW,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762193,0.023144211620092392,0,1,0,0.15248320996761322,0.06734441220760345,0.015592481940984726
0,2,0.3924527168273926,90,FW,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761051,0,0,0,0,0.3924527168273926,0.04154866933822632,0.04154866933822632
0,1,0.09347274899482727,66,FW,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760671,0.11987733095884323,0,2,0,0.09347274899482727,0.16371706128120422,0
0,3,0.5804365873336792,90,FW,Liverpool,Wolverhampton Wanderers,2,1,2025-12-27,28953,2025,760156,0.052395049482584,0,2,0,0.5804365873336792,0.20428721606731415,0
0,1,0.09145381301641464,8,Sub,Wolverhampton Wanderers,Brentford,0,2,2025-12-20,28947,2025,759131,0,0,0,0,0.09145381301641464,0.09145381301641464,0.09145381301641464
1,1,0.05268159508705139,17,Sub,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757955,0,0,0,1,0.05268159508705139,0.05268159508705139,0
0,0,0,19,Sub,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757189,0,0,0,0,0,0.03783735632896423,0.03783735632896423
0,1,0.046263303607702255,4,Sub,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755152,0,0,0,0,0.046263303607702255,0.046263303607702255,0
0,0,0,1,Sub,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754301,0,0,0,0,0,0,0
0,1,0.007592028938233852,67,FW,Wolverhampton Wanderers,Crystal Palace,0,2,2025-11-22,28897,2025,752059,0.06017865985631943,0,1,0,0.007592028938233852,0.007592028938233852,0
0,1,0.07300447672605515,21,Sub,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748399,0,0,0,0,0.07300447672605515,0,0
0,0,0,1,Sub,Wolverhampton Wanderers,Burnley,2,3,2025-10-26,28867,2025,746663,0,0,0,0,0,0,0
0,2,0.1240069791674614,9,Sub,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744278,0,0,0,0,0.1240069791674614,0.16986770927906036,0.04586073383688927
0,0,0,1,Sub,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743122,0,0,0,0,0,0,0
0,0,0,2,Sub,Tottenham,Wolverhampton Wanderers,1,1,2025-09-27,28835,2025,741061,0,0,0,0,0,0,0
0,3,0.2106696367263794,90,FW,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738593,0.290688157081604,0,1,0,0.2106696367263794,0.9305282831192017,0.42917048931121826
0,0,0,71,FW,Newcastle United,Wolverhampton Wanderers,1,0,2025-09-13,28809,2025,736897,0,0,0,0,0,0,0
0,1,0.10417299717664719,10,Sub,FC Cologne,Mainz 05,2,3,2021-04-11,15388,2020,462156,0,0,0,0,0.10417299717664719,0.10417299717664719,0
0,0,0,18,Sub,Eintracht Frankfurt,FC Cologne,2,0,2021-02-14,15325,2020,449726,0.3696900010108948,0,1,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,FC Cologne,1,2,2021-02-06,15311,2020,447809,0,0,0,0,0,0,0
0,0,0,1,Sub,Schalke 04,FC Cologne,1,2,2021-01-20,15289,2020,443387,0,0,0,0,0,0,0
0,0,0,20,Sub,Freiburg,FC Cologne,5,0,2021-01-09,15269,2020,440846,0.012915300205349922,0,1,0,0,0.012915300205349922,0
0,0,0,3,Sub,FC Cologne,Augsburg,0,1,2021-01-02,15262,2020,439030,0,0,0,0,0,0,0
0,0,0,6,Sub,FC Cologne,Union Berlin,1,2,2020-11-22,15211,2020,428892,0,0,0,0,0,0,0
0,1,0.07021550089120865,10,Sub,FC Cologne,Bayern Munich,1,2,2020-10-31,15186,2020,424386,0,0,0,0,0.07021550089120865,0.03726689890027046,0.03726689890027046
0,0,0,11,Sub,FC Cologne,Borussia M.Gladbach,1,3,2020-10-03,15159,2020,419472,0,0,0,0,0,0,0
0,1,0.03834480047225952,13,Sub,Arminia Bielefeld,FC Cologne,1,0,2020-09-26,14185,2020,417306,0.10656099766492844,0,1,0,0.03834480047225952,0.14490599930286407,0
