goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.017085205763578415,90,AMR,Sunderland,Manchester United,0,0,2026-05-09,29135,2025,788842,0.14413981139659882,0,2,0,0.017085205763578415,0.3765590488910675,0.27430903911590576
0,1,0.08557350933551788,90,AMR,Wolverhampton Wanderers,Sunderland,1,1,2026-05-02,29127,2025,787208,0,0,0,0,0.08557350933551788,0.1571260690689087,0.0715525671839714
0,1,0.056027330458164215,90,DL,Sunderland,Nottingham Forest,0,5,2026-04-24,29115,2025,785073,0.051748745143413544,0,1,0,0.056027330458164215,0.13628146052360535,0.08025412261486053
1,1,0.27787861227989197,25,Sub,Aston Villa,Sunderland,4,3,2026-04-19,29098,2025,783705,0,0,0,1,0.27787861227989197,0.3468846082687378,0.06900599598884583
0,0,0,4,Sub,Sunderland,Tottenham,1,0,2026-04-12,29090,2025,782190,0.2734485864639282,0,1,0,0,0.2734485864639282,0
0,2,0.14386369287967682,90,DL,Newcastle United,Sunderland,1,2,2026-03-22,29085,2025,779037,0,0,0,0,0.14386369287967682,0.18270662426948547,0.14978383481502533
0,2,0.03883844614028931,90,DL,Sunderland,Brighton,0,1,2026-03-14,29076,2025,776754,0.04204254224896431,0,1,0,0.03883844614028931,0.11893007159233093,0.038049083203077316
0,0,0,90,DL,Leeds,Sunderland,0,1,2026-03-03,29063,2025,774589,0,0,0,0,0,0,0
0,0,0,90,DL,Bournemouth,Sunderland,1,1,2026-02-28,29048,2025,773021,0,0,0,0,0,0,0
0,2,0.06566108763217926,90,DL,Sunderland,Fulham,1,3,2026-02-22,29045,2025,772155,0,0,0,0,0.06566108763217926,0.06243984028697014,0.029384801164269447
0,3,0.1107325553894043,81,AMR,Sunderland,Liverpool,0,1,2026-02-11,29035,2025,769947,0.03784992918372154,0,1,0,0.1107325553894043,0.14858248829841614,0
0,0,0,89,AMR,Arsenal,Sunderland,3,0,2026-02-07,29019,2025,768642,0,0,0,0,0,0.02736898884177208,0.02736898884177208
