goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Crystal Palace,Leeds,0,0,2026-03-15,29072,2025,777339,0,0,0,0,0,0,0
0,0,0,90,GK,Reims,Nice,2,3,2022-05-21,18198,2021,537577,0,0,0,0,0,0.04609600082039833,0.04609600082039833
0,0,0,90,GK,Nice,Lille,1,3,2022-05-14,18187,2021,535782,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Saint-Etienne,4,2,2022-05-11,18173,2021,534710,0,0,0,0,0,0.06775949895381927,0.06775949895381927
0,0,0,90,GK,Bordeaux,Nice,0,1,2022-05-01,18170,2021,531304,0,0,0,0,0,0.056179601699113846,0.056179601699113846
0,0,0,90,GK,Nice,Troyes,1,0,2022-04-24,18157,2021,529441,0,0,0,0,0,0.13158300518989563,0.13158300518989563
0,0,0,90,GK,Monaco,Nice,1,0,2022-04-20,18148,2021,527660,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Lorient,2,1,2022-04-17,18137,2021,526785,0,0,0,0,0,0.12316200137138367,0.12316200137138367
0,0,0,90,GK,Lens,Nice,3,0,2022-04-10,18126,2021,525494,0,0,0,0,0,0.01589979976415634,0.01589979976415634
0,0,0,90,GK,Nice,Rennes,1,1,2022-04-02,18117,2021,522891,0,0,0,0,0,0,0
0,0,0,90,GK,Marseille,Nice,2,1,2022-03-20,18106,2021,522281,0,0,0,0,0,0,0
0,0,0,90,GK,Montpellier,Nice,0,0,2022-03-12,18098,2021,534417,0,0,0,0,0,0.03367479890584946,0.03367479890584946
0,0,0,90,GK,Nice,Paris Saint Germain,1,0,2022-03-05,18091,2021,517904,0,0,0,0,0,0.4658200144767761,0.4658200144767761
0,0,0,90,GK,Strasbourg,Nice,0,0,2022-02-26,18076,2021,516290,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Angers,1,0,2022-02-20,18069,2021,514619,0,0,0,0,0,0,0
0,0,0,90,GK,Lyon,Nice,2,0,2022-02-12,18060,2021,512954,0,0,0,0,0,0,0
0,0,0,90,GK,Metz,Nice,0,2,2022-01-23,18038,2021,510099,0,0,0,0,0,0.09816110134124756,0.09816110134124756
0,0,0,90,GK,Nice,Nantes,2,1,2022-01-14,18025,2021,507845,0,0,0,0,0,0,0
0,0,0,90,GK,Brest,Nice,0,3,2022-01-09,18017,2021,507095,0,0,0,0,0,0.07294809818267822,0.07294809818267822
0,0,0,90,GK,Nice,Lens,2,1,2021-12-22,18009,2021,504832,0,0,0,0,0,0.0703577995300293,0.0703577995300293
0,0,0,90,GK,Rennes,Nice,1,2,2021-12-12,17993,2021,502413,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Strasbourg,0,3,2021-12-05,17985,2021,500830,0,0,0,0,0,0.06473089754581451,0.06473089754581451
0,0,0,90,GK,Paris Saint Germain,Nice,0,0,2021-12-01,17978,2021,499247,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Metz,0,1,2021-11-27,17971,2021,497719,0,0,0,0,0,0,0
0,0,0,90,GK,Clermont Foot,Nice,1,2,2021-11-21,17954,2021,496581,0,0,0,0,0,0,0
0,0,0,90,GK,Nice,Montpellier,0,1,2021-11-07,17948,2021,494853,0,0,0,0,0,0.10744599997997284,0.10744599997997284
0,0,0,90,GK,Angers,Nice,1,2,2021-10-31,17932,2021,492735,0,0,0,0,0,0.046407200396060944,0.046407200396060944
0,0,0,90,GK,Nice,Marseille,1,1,2021-10-27,17851,2021,491605,0,0,0,0,0,0,0
