goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Brighton,Crystal Palace,0,1,2026-02-08,29020,2025,769156,0,0,0,0,0,0,0
0,2,0.03943522274494171,29,Sub,Brighton,Everton,1,1,2026-01-31,29010,2025,767111,0.0816274881362915,0,1,0,0.03943522274494171,0.12106271833181381,0
0,1,0.044812146574258804,9,Sub,Fulham,Brighton,2,1,2026-01-24,29004,2025,765652,0,0,0,0,0.044812146574258804,0.044812146574258804,0
0,1,0.029196014627814293,19,Sub,Brighton,Bournemouth,1,1,2026-01-19,28989,2025,765148,0.02192367985844612,0,1,0,0.029196014627814293,0.09249155223369598,0.09249155223369598
0,1,0.16358213126659393,66,AMR,West Ham,Brighton,2,2,2025-12-30,28967,2025,760607,0,0,0,0,0.16358213126659393,0.22224722802639008,0.05866510048508644
0,1,0.06562139093875885,42,Sub,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760067,0,0,0,0,0.06562139093875885,0.17960898578166962,0.11398758739233017
0,0,0,74,AMR,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759064,0,0,0,0,0,0,0
0,3,0.14666712284088135,90,AMR,Liverpool,Brighton,2,0,2025-12-13,28933,2025,757665,0.4210790693759918,0,1,0,0.14666712284088135,0.801931619644165,0.23418545722961426
0,1,0.05444354563951492,73,AMR,Brighton,West Ham,1,1,2025-12-07,28920,2025,756599,0,0,0,0,0.05444354563951492,0.6953878402709961,0.6409443020820618
0,2,0.0912746712565422,90,AMR,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755177,0.17113590240478516,0,3,0,0.0912746712565422,0.2142588198184967,0.13163255155086517
0,1,0.01748393476009369,86,AMR,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754477,0.23715455830097198,0,3,0,0.01748393476009369,0.2728915512561798,0.05618910863995552
0,3,0.2056829184293747,90,AMR,Brighton,Brentford,2,1,2025-11-22,28890,2025,751996,0.527238667011261,1,4,0,0.2056829184293747,0.7396875619888306,0.02230641432106495
0,2,0.1257101148366928,90,AMR,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750925,0.0557817704975605,0,1,0,0.1257101148366928,0.19951115548610687,0.07380104064941406
0,1,0.3010975122451782,89,AMR,Brighton,Leeds,3,0,2025-11-01,28868,2025,748281,0.677092432975769,1,2,0,0.3010975122451782,2.238922357559204,1.2607325315475464
0,1,0.04169922694563866,90,AML,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746109,0.020446961745619774,0,1,0,0.04169922694563866,0.10730897635221481,0.06560975313186646
0,2,0.17601026594638824,90,AMR,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744193,0.014396097511053085,0,1,0,0.17601026594638824,0.6412977576255798,0.4652875065803528
0,1,0.013343166559934616,90,AML,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743134,0.23395898938179016,0,4,0,0.013343166559934616,0.34351402521133423,0.1551186889410019
0,2,0.20099101960659027,90,AMR,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740617,0.46309441328048706,1,1,0,0.20099101960659027,1.2736036777496338,0.60951828956604
1,1,0.6801360845565796,79,AMR,Brighton,Tottenham,2,2,2025-09-20,28821,2025,738622,0.03572119399905205,0,1,1,0.6801360845565796,0.7449682354927063,0.7092470526695251
0,3,0.3495340645313263,90,AMR,Bournemouth,Brighton,2,1,2025-09-13,28810,2025,736926,0.16583633422851562,1,1,0,0.3495340645313263,0.4851929843425751,0
0,2,0.14427001774311066,90,AMR,Brighton,Manchester City,2,1,2025-08-31,28805,2025,735690,0.07031069695949554,0,1,0,0.14427001774311066,0.2145807147026062,0.048511818051338196
0,1,0.03493177145719528,90,AMR,Everton,Brighton,2,0,2025-08-24,28795,2025,733846,0.6815967559814453,0,4,0,0.03493177145719528,0.7165285348892212,0.6677008867263794
0,1,0.1413981318473816,70,AMR,Brighton,Fulham,1,1,2025-08-16,28780,2025,732709,0,0,0,0,0.1413981318473816,0.22215090692043304,0.08075278252363205
0,2,0.18767938017845154,90,ML,Tottenham,Brighton,1,4,2025-05-25,26976,2024,730148,0.11026506125926971,0,2,0,0.18767938017845154,0.30403071641921997,0.1465837061405182
0,1,0.0383719839155674,86,AMR,Brighton,Liverpool,3,2,2025-05-19,26965,2024,729255,0,0,0,0,0.0383719839155674,0.05403859168291092,0.015666605904698372
0,1,0.0328456349670887,87,AML,Wolverhampton Wanderers,Brighton,0,2,2025-05-10,26961,2024,725826,0.09210904687643051,0,2,0,0.0328456349670887,0.12495468556880951,0
