goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,5,0.31176939606666565,90,DC,Manchester City,Wolverhampton Wanderers,2,0,2026-01-24,29005,2025,765670,0,0,0,0,0.31176939606666565,0.13577599823474884,0.027649346739053726
0,2,0.09536053985357285,90,DC,Wolverhampton Wanderers,Newcastle United,0,0,2026-01-18,28997,2025,764672,0.068394236266613,0,1,0,0.09536053985357285,0.2601228654384613,0.1582309454679489
0,0,0,90,DC,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762185,0.015592481940984726,0,1,0,0,0.3377614915370941,0.3221690058708191
0,1,0.045021094381809235,90,DC,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761043,0.011257002130150795,0,1,0,0.045021094381809235,0.5808244943618774,0.5695675015449524
0,2,0.7192927598953247,90,DC,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760663,0.02745138667523861,0,1,0,0.7192927598953247,0.8552895188331604,0.14212091267108917
0,0,0,82,DC,Liverpool,Wolverhampton Wanderers,2,1,2025-12-27,28953,2025,760147,0,0,0,0,0,0.1116781011223793,0.1116781011223793
0,0,0,90,DC,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757943,0.49728211760520935,0,1,0,0,0.49728211760520935,0
0,0,0,90,DC,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757178,0.020729543641209602,0,1,0,0,0.058566901832818985,0.03783735632896423
0,0,0,86,DC,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755141,0,0,0,0,0,0,0
0,2,0.06107615306973457,79,DC,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754291,0.06917759031057358,0,1,0,0.06107615306973457,0.3518916368484497,0.3518916368484497
0,0,0,39,Sub,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748398,0,0,0,0,0,0,0
0,0,0,1,Sub,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743120,0,0,0,0,0,0,0
0,2,0.05404307320713997,75,DC,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738584,0,0,0,0,0.05404307320713997,0.32482460141181946,0.290688157081604
0,0,0,71,DC,Newcastle United,Wolverhampton Wanderers,1,0,2025-09-13,28809,2025,736888,0,0,0,0,0,0,0
0,0,0,88,DC,Aston Villa,Wolverhampton Wanderers,3,1,2024-09-21,26647,2024,675763,0.06027156114578247,0,1,0,0,0.22012479603290558,0.22012479603290558
0,1,0.05384520813822746,90,DC,Wolverhampton Wanderers,Newcastle United,1,2,2024-09-15,26641,2024,674612,0,0,0,0,0.05384520813822746,0.4570416212081909,0.40319639444351196
0,0,0,90,DC,Nottingham Forest,Wolverhampton Wanderers,1,1,2024-08-31,26627,2024,671860,0,0,0,0,0,0.34433019161224365,0.34433019161224365
