id,isResult,side,h,a,goals,xG,datetime,forecast,result
28779,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '0'}","{'h': '0.318601', 'a': '1.40098'}",2025-08-16 11:30:00,"{'w': 0.08248628897788866, 'd': 0.26847924387831423, 'l': 0.649034467111355}",d
28790,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '0'}","{'h': '1.12964', 'a': '0.976852'}",2025-08-23 14:00:00,"{'w': 0.39020722719986667, 'd': 0.2978251229904622, 'l': 0.3119676498078009}",l
28807,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '3'}","{'h': '1.20586', 'a': '2.59713'}",2025-08-31 18:00:00,"{'w': 0.1571439956387321, 'd': 0.1701099790065247, 'l': 0.6727459134088106}",l
28812,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '0'}","{'h': '1.8927', 'a': '0.354327'}",2025-09-13 14:00:00,"{'w': 0.7498212125477685, 'd': 0.18941784648043133, 'l': 0.06076093910125452}",d
28826,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '1'}","{'h': '0.938312', 'a': '0.939354'}",2025-09-21 13:00:00,"{'w': 0.33945230370372675, 'd': 0.32053540307960027, 'l': 0.34001229321642595}",d
28831,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '1'}","{'h': '1.36575', 'a': '0.952612'}",2025-09-28 13:00:00,"{'w': 0.46357156209140726, 'd': 0.2746933352067363, 'l': 0.26173510267882444}",w
28840,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '1'}","{'h': '1.73572', 'a': '0.502292'}",2025-10-05 13:00:00,"{'w': 0.6764188422314843, 'd': 0.2220141388544981, 'l': 0.10156701832329422}",w
28856,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '1.51461', 'a': '0.352231'}",2025-10-19 13:00:00,"{'w': 0.6680756175832194, 'd': 0.2487707747936537, 'l': 0.08315360752912428}",w
28860,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '0.843906', 'a': '1.36914'}",2025-10-26 13:00:00,"{'w': 0.23117088013433842, 'd': 0.2772745271285362, 'l': 0.491554592713426}",w
28872,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '1.47021', 'a': '0.43502'}",2025-11-01 20:00:00,"{'w': 0.6319625867169963, 'd': 0.26029025398381617, 'l': 0.10774715923648423}",l
28878,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '0'}","{'h': '1.88282', 'a': '2.00992'}",2025-11-09 14:00:00,"{'w': 0.3703244348340336, 'd': 0.20972751198206188, 'l': 0.41994804730743746}",w
28893,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '1.84668', 'a': '1.35978'}",2025-11-23 14:00:00,"{'w': 0.4895292677983788, 'd': 0.22695037432516108, 'l': 0.2835203565052944}",w
28898,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '1.15486', 'a': '0.692588'}",2025-11-30 14:05:00,"{'w': 0.4680299819239281, 'd': 0.3112938330443691, 'l': 0.22067618502945047}",w
28910,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '4'}","{'h': '1.96298', 'a': '3.15745'}",2025-12-03 19:30:00,"{'w': 0.22247212338939323, 'd': 0.15971563343744716, 'l': 0.6178109919075775}",w
28919,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '1'}","{'h': '2.71986', 'a': '1.85965'}",2025-12-06 12:30:00,"{'w': 0.5629679913237855, 'd': 0.1790390354640963, 'l': 0.2579927720324869}",w
28937,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '3'}","{'h': '1.27701', 'a': '0.595093'}",2025-12-14 14:00:00,"{'w': 0.5317682945145661, 'd': 0.2948504701182828, 'l': 0.1733812353580776}",w
28939,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '1'}","{'h': '1.86917', 'a': '1.30455'}",2025-12-21 16:30:00,"{'w': 0.5067339550358088, 'd': 0.22578634022899047, 'l': 0.26747970313819824}",w
28951,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '1.97155', 'a': '2.05918'}",2025-12-27 17:30:00,"{'w': 0.380177427797002, 'd': 0.20596956602827585, 'l': 0.4138529972940377}",w
28958,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '4', 'a': '1'}","{'h': '4.41335', 'a': '2.94195'}",2025-12-30 20:15:00,"{'w': 0.6385774585151558, 'd': 0.1305058908533821, 'l': 0.23085654014854948}",l
28972,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '3', 'a': '1'}","{'h': '1.42988', 'a': '0.8982'}",2026-01-03 12:30:00,"{'w': 0.4944396686038367, 'd': 0.2691018120701519, 'l': 0.23645851928304892}",w
