id,isResult,side,h,a,goals,xG,datetime,forecast,result
28784,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '0'}","{'h': '1.36793', 'a': '1.03414'}",2025-08-17 13:00:00,"{'w': 0.4446934327004836, 'd': 0.27167486603143853, 'l': 0.28363170124421044}",d
28794,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '1'}","{'h': '1.10188', 'a': '1.32987'}",2025-08-24 13:00:00,"{'w': 0.30900502443597283, 'd': 0.27226756758010856, 'l': 0.4187274079668804}",d
28807,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '3'}","{'h': '1.20586', 'a': '2.59713'}",2025-08-31 18:00:00,"{'w': 0.1571439956387321, 'd': 0.1701099790065247, 'l': 0.6727459134088106}",w
28811,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '0', 'a': '0'}","{'h': '1.75805', 'a': '0.354129'}",2025-09-13 14:00:00,"{'w': 0.723083168854263, 'd': 0.2088553789298476, 'l': 0.06806145151503173}",d
28819,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '0.466365', 'a': '2.33565'}",2025-09-20 14:00:00,"{'w': 0.057631192541774755, 'd': 0.14712777285852854, 'l': 0.7952410055547269}",w
28830,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '1'}","{'h': '3.53323', 'a': '3.10176'}",2025-09-27 14:00:00,"{'w': 0.4872285038402646, 'd': 0.15606400435024534, 'l': 0.3567017204404346}",w
28843,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '1'}","{'h': '2.13876', 'a': '2.17789'}",2025-10-05 13:00:00,"{'w': 0.39342740956920563, 'd': 0.19857672032624818, 'l': 0.4079958490179862}",l
28850,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '3'}","{'h': '4.56284', 'a': '2.0471'}",2025-10-18 14:00:00,"{'w': 0.7853985326379118, 'd': 0.10035517442780625, 'l': 0.11416067625294947}",d
28859,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '0.856175', 'a': '0.350534'}",2025-10-26 13:00:00,"{'w': 0.45982909446076736, 'd': 0.3959355679220827, 'l': 0.1442353376171165}",l
28870,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '0.734558', 'a': '0.820498'}",2025-11-01 15:00:00,"{'w': 0.2956654573812705, 'd': 0.35896644694508, 'l': 0.34536809567362753}",w
28881,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '0'}","{'h': '0.839547', 'a': '0.637037'}",2025-11-09 14:00:00,"{'w': 0.3756366439972132, 'd': 0.36791655533407314, 'l': 0.2564468006686875}",d
28897,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '2'}","{'h': '1.66409', 'a': '1.44933'}",2025-11-22 15:00:00,"{'w': 0.42812178960689895, 'd': 0.2364908678458968, 'l': 0.3353873421600256}",w
28901,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '2.13561', 'a': '1.47768'}",2025-11-30 12:00:00,"{'w': 0.5270266881147745, 'd': 0.20800238379773517, 'l': 0.2649709188900998}",l
28911,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '1'}","{'h': '1.16852', 'a': '0.987797'}",2025-12-03 19:30:00,"{'w': 0.39918799374102365, 'd': 0.2932295383896954, 'l': 0.3075824678663781}",w
28922,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '0.766771', 'a': '1.71109'}",2025-12-07 16:30:00,"{'w': 0.1647558811178384, 'd': 0.2358659391605056, 'l': 0.59937817923385}",w
28932,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '3'}","{'h': '1.30092', 'a': '1.35317'}",2025-12-14 14:00:00,"{'w': 0.35753941258204125, 'd': 0.2606609831602065, 'l': 0.38179960422588244}",l
28943,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '4', 'a': '1'}","{'h': '2.90786', 'a': '1.53058'}",2025-12-20 20:00:00,"{'w': 0.658664757440737, 'd': 0.16151256303856745, 'l': 0.1798222221669578}",l
28952,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.929681', 'a': '0.870768'}",2025-12-28 16:30:00,"{'w': 0.35179026601036617, 'd': 0.32861224370673797, 'l': 0.3195974902827459}",l
28962,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '2.35346', 'a': '1.75434'}",2026-01-01 17:30:00,"{'w': 0.5146620878777418, 'd': 0.19640181749542535, 'l': 0.288936061928841}",d
28968,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '0'}","{'h': '2.72764', 'a': '1.27825'}",2026-01-04 15:00:00,"{'w': 0.6795311789840958, 'd': 0.16385683395753037, 'l': 0.15661178010588828}",l
28983,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '0'}","{'h': '1.32505', 'a': '2.07015'}",2026-01-07 19:30:00,"{'w': 0.24233898439069698, 'd': 0.2115115588293491, 'l': 0.5461494506820872}",d
