id,isResult,side,h,a,goals,xG,datetime,forecast,result
28787,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '2.3812', 'a': '0.674338'}",2025-08-18 19:00:00,"{'w': 0.7539488496384323, 'd': 0.15907851497834, 'l': 0.08697259818449773}",l
28795,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '0'}","{'h': '1.80116', 'a': '2.08487'}",2025-08-24 13:00:00,"{'w': 0.340469854385487, 'd': 0.20843595911699897, 'l': 0.4510941788562649}",w
28800,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '3'}","{'h': '0.943257', 'a': '2.03791'}",2025-08-30 14:00:00,"{'w': 0.16635117015417697, 'd': 0.20643458490496877, 'l': 0.6272142399877508}",w
28812,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '0'}","{'h': '1.8927', 'a': '0.354327'}",2025-09-13 14:00:00,"{'w': 0.7498212125477685, 'd': 0.18941784648043133, 'l': 0.06076093910125452}",d
28818,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '1'}","{'h': '1.06166', 'a': '0.721371'}",2025-09-20 11:30:00,"{'w': 0.4309219318185168, 'd': 0.32374282918874286, 'l': 0.2453352389920424}",l
28837,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '0.909703', 'a': '0.775766'}",2025-09-29 19:00:00,"{'w': 0.36696095180228167, 'd': 0.3411377984860326, 'l': 0.29190124971159875}",d
28843,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '1'}","{'h': '2.13876', 'a': '2.17789'}",2025-10-05 13:00:00,"{'w': 0.39342740956920563, 'd': 0.19857672032624818, 'l': 0.4079958490179862}",w
28853,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '0'}","{'h': '2.4799', 'a': '0.794622'}",2025-10-18 14:00:00,"{'w': 0.7424372988658202, 'd': 0.1582372258250948, 'l': 0.09932541288918358}",l
28863,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '3'}","{'h': '1.4032', 'a': '2.09327'}",2025-10-26 15:30:00,"{'w': 0.25553415793308987, 'd': 0.21042719400486312, 'l': 0.5340386409962334}",l
28875,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '1.18068', 'a': '1.00741'}",2025-11-03 20:00:00,"{'w': 0.3982451838866248, 'd': 0.2908112770913895, 'l': 0.3109435390185916}",d
