id,isResult,side,h,a,goals,xG,datetime,forecast,result
28787,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '2.3812', 'a': '0.674338'}",2025-08-18 19:00:00,"{'w': 0.7539488496384323, 'd': 0.15907851497834, 'l': 0.08697259818449773}",w
28793,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '5', 'a': '0'}","{'h': '2.73761', 'a': '0.156761'}",2025-08-23 16:30:00,"{'w': 0.9067498955784903, 'd': 0.08175286189690759, 'l': 0.01149702595033004}",l
28803,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '0'}","{'h': '0.6773', 'a': '0.303635'}",2025-08-30 16:30:00,"{'w': 0.39741719705583517, 'd': 0.4561279761352848, 'l': 0.14645482680887895}",d
28813,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '0'}","{'h': '1.13979', 'a': '0.830398'}",2025-09-13 14:00:00,"{'w': 0.4280866888088012, 'd': 0.30611086382911845, 'l': 0.2658024473601841}",l
28820,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '3'}","{'h': '1.5661', 'a': '0.456988'}",2025-09-20 14:00:00,"{'w': 0.6497385211046828, 'd': 0.24523693311572406, 'l': 0.10502454563165271}",w
28832,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '2.04728', 'a': '1.06033'}",2025-09-27 14:00:00,"{'w': 0.6013954719839255, 'd': 0.20901472212466138, 'l': 0.18958980063096614}",d
28844,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '1.48051', 'a': '0.688198'}",2025-10-04 11:30:00,"{'w': 0.5627760273761931, 'd': 0.2640622423829745, 'l': 0.1731617301718709}",l
28849,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '2', 'a': '0'}","{'h': '0.509647', 'a': '2.33152'}",2025-10-18 14:00:00,"{'w': 0.06429109964553512, 'd': 0.15123195388429095, 'l': 0.7844769180774569}",l
28864,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '1'}","{'h': '2.2214', 'a': '0.498653'}",2025-10-24 19:00:00,"{'w': 0.7698832607374702, 'd': 0.16171066275982549, 'l': 0.06840606128196959}",w
28868,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '3', 'a': '0'}","{'h': '2.64127', 'a': '0.35919'}",2025-11-01 15:00:00,"{'w': 0.8578838583732348, 'd': 0.1094271860178195, 'l': 0.03268881725065877}",l
