id,isResult,side,h,a,goals,xG,datetime,forecast,result
28786,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '1.37653', 'a': '1.3304'}",2025-08-17 15:30:00,"{'w': 0.3817588149943814, 'd': 0.257716888286551, 'l': 0.3605242966776242}",l
28796,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '1.65333', 'a': '1.54603'}",2025-08-24 15:30:00,"{'w': 0.4059399346949016, 'd': 0.2339481953523581, 'l': 0.3601118695209833}",d
28802,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '2'}","{'h': '4.02237', 'a': '1.32618'}",2025-08-30 14:00:00,"{'w': 0.8337648613148905, 'd': 0.09234405504261727, 'l': 0.07386985445732501}",w
28817,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '0'}","{'h': '1.99725', 'a': '1.51915'}",2025-09-14 15:30:00,"{'w': 0.48896754519377617, 'd': 0.21620379408784207, 'l': 0.2948286568186175}",l
28824,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '1.34458', 'a': '0.469843'}",2025-09-20 16:30:00,"{'w': 0.5874905610857603, 'd': 0.28330646085609706, 'l': 0.12920297803968067}",w
28828,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '1'}","{'h': '2.78726', 'a': '2.23609'}",2025-09-27 11:30:00,"{'w': 0.5056861385125717, 'd': 0.17819038074914903, 'l': 0.3161231933210336}",l
28845,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '0'}","{'h': '1.9298', 'a': '0.807119'}",2025-10-04 14:00:00,"{'w': 0.6380107445087324, 'd': 0.21244036621302473, 'l': 0.14954888686033202}",w
28852,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '2.60972', 'a': '2.53117'}",2025-10-19 15:30:00,"{'w': 0.4230943563576661, 'd': 0.18074789423198998, 'l': 0.3961575495388131}",w
28865,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '4', 'a': '2'}","{'h': '1.96231', 'a': '0.947154'}",2025-10-25 16:30:00,"{'w': 0.6103888481379554, 'd': 0.21381756995563142, 'l': 0.17579357889232855}",w
28874,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '2'}","{'h': '1.55066', 'a': '0.91622'}",2025-11-01 15:00:00,"{'w': 0.5216105823205052, 'd': 0.25561055292603624, 'l': 0.2227788646240136}",d
28886,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '2'}","{'h': '1.35532', 'a': '0.820256'}",2025-11-08 12:30:00,"{'w': 0.49375493863731135, 'd': 0.2794993805677492, 'l': 0.22674568077432744}",d
28895,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '1'}","{'h': '2.2737', 'a': '0.155063'}",2025-11-24 20:00:00,"{'w': 0.8604525582580025, 'd': 0.12207198737159311, 'l': 0.017475433814588576}",l
28901,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '2.13561', 'a': '1.47768'}",2025-11-30 12:00:00,"{'w': 0.5270266881147745, 'd': 0.20800238379773517, 'l': 0.2649709188900998}",w
28915,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.27674', 'a': '1.36584'}",2025-12-04 20:00:00,"{'w': 0.5795276073892581, 'd': 0.1976119650035252, 'l': 0.2228604066714891}",d
28927,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '4'}","{'h': '0.262147', 'a': '4.04708'}",2025-12-08 20:00:00,"{'w': 0.006459479901928649, 'd': 0.03196685412595647, 'l': 0.9615509174494008}",w
28934,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '4'}","{'h': '3.21204', 'a': '2.35196'}",2025-12-15 20:00:00,"{'w': 0.5578729847959485, 'd': 0.1632411153426322, 'l': 0.2788843333307099}",d
28939,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '1'}","{'h': '1.86917', 'a': '1.30455'}",2025-12-21 16:30:00,"{'w': 0.5067339550358088, 'd': 0.22578634022899047, 'l': 0.26747970313819824}",l
28954,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '0.940811', 'a': '1.12998'}",2025-12-26 20:00:00,"{'w': 0.3011232118650757, 'd': 0.30025253153664727, 'l': 0.3986242565964888}",w
28964,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '1.13306', 'a': '1.21784'}",2025-12-30 20:15:00,"{'w': 0.3394057397319671, 'd': 0.2797087422303121, 'l': 0.38088551803128906}",d
28976,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.970138', 'a': '1.94781'}",2026-01-04 12:30:00,"{'w': 0.18245149396558277, 'd': 0.21583543538733718, 'l': 0.6017130679136504}",d
28982,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '2'}","{'h': '0.31971', 'a': '2.52488'}",2026-01-07 20:15:00,"{'w': 0.031453827245612666, 'd': 0.11547332791963404, 'l': 0.8530727664377779}",d
28993,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '0'}","{'h': '3.07278', 'a': '0.387015'}",2026-01-17 12:30:00,"{'w': 0.8936125110390584, 'd': 0.08151811474562722, 'l': 0.024868476306475738}",w
28999,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '3'}","{'h': '1.42411', 'a': '0.640902'}",2026-01-25 16:30:00,"{'w': 0.5606258457974769, 'd': 0.27181239961554066, 'l': 0.16756175454639177}",w
29012,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '2'}","{'h': '1.84362', 'a': '1.71998'}",2026-02-01 14:00:00,"{'w': 0.41504439459784986, 'd': 0.22018594245816125, 'l': 0.36476966110089026}",w
29025,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '0'}","{'h': '2.16576', 'a': '0.593404'}",2026-02-07 12:30:00,"{'w': 0.7372773545707978, 'd': 0.17496048012747534, 'l': 0.08776215434606027}",w
29037,False,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-10 20:15:00,,
29042,False,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-23 20:00:00,,
29055,False,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-01 14:00:00,,
29065,False,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-04 20:15:00,,
