id,isResult,side,h,a,goals,xG,datetime,forecast,result
28782,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '0'}","{'h': '1.97858', 'a': '0.734138'}",2025-08-16 14:00:00,"{'w': 0.6665630231718619, 'd': 0.20393616027007788, 'l': 0.1295008131979426}",w
28789,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '1.2475', 'a': '1.28015'}",2025-08-23 11:30:00,"{'w': 0.3581238832608572, 'd': 0.2682650376872372, 'l': 0.37361107903595225}",w
28799,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '1'}","{'h': '0.17067', 'a': '2.1201'}",2025-08-30 14:00:00,"{'w': 0.02234388073655799, 'd': 0.14125058813394845, 'l': 0.8364055228260858}",l
28814,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '3'}","{'h': '0.793248', 'a': '1.51402'}",2025-09-13 16:30:00,"{'w': 0.196284608940824, 'd': 0.2601290102570226, 'l': 0.5435863807086353}",w
28821,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.40466', 'a': '1.19181'}",2025-09-20 14:00:00,"{'w': 0.41862986545927255, 'd': 0.26234142356394163, 'l': 0.31902871093967033}",d
28835,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.818711', 'a': '1.15951'}",2025-09-27 19:00:00,"{'w': 0.2587241350999249, 'd': 0.30426917561871525, 'l': 0.43700668927896213}",d
28844,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '1.48051', 'a': '0.688198'}",2025-10-04 11:30:00,"{'w': 0.5627760273761931, 'd': 0.2640622423829745, 'l': 0.1731617301718709}",w
28856,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '1.51461', 'a': '0.352231'}",2025-10-19 13:00:00,"{'w': 0.6680756175832194, 'd': 0.2487707747936537, 'l': 0.08315360752912428}",l
28863,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '3'}","{'h': '1.4032', 'a': '2.09327'}",2025-10-26 15:30:00,"{'w': 0.25553415793308987, 'd': 0.21042719400486312, 'l': 0.5340386409962334}",w
28876,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '0.146954', 'a': '3.34251'}",2025-11-01 17:30:00,"{'w': 0.006085782830664731, 'd': 0.04745149185244961, 'l': 0.9464602532617841}",l
28886,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '2'}","{'h': '1.35532', 'a': '0.820256'}",2025-11-08 12:30:00,"{'w': 0.49375493863731135, 'd': 0.2794993805677492, 'l': 0.22674568077432744}",d
28889,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '1'}","{'h': '2.27827', 'a': '0.0300672'}",2025-11-23 16:30:00,"{'w': 0.8905056979878886, 'd': 0.10635480000937314, 'l': 0.003139480908106463}",l
28906,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '2'}","{'h': '1.04396', 'a': '0.494736'}",2025-11-29 20:00:00,"{'w': 0.4865414797571205, 'd': 0.3406939896496531, 'l': 0.1727645305926774}",l
28916,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.88558', 'a': '1.05205'}",2025-12-02 20:15:00,"{'w': 0.5684065608680231, 'd': 0.22327810267257073, 'l': 0.20831533467931518}",d
28926,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '2.42388', 'a': '0.470563'}",2025-12-06 15:00:00,"{'w': 0.8068874214186879, 'd': 0.13888441822604713, 'l': 0.05422811368364069}",w
28935,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '0'}","{'h': '2.32658', 'a': '0.380246'}",2025-12-14 14:00:00,"{'w': 0.8141436512968657, 'd': 0.1402161565919079, 'l': 0.04564016448118277}",l
28946,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '1.34905', 'a': '1.23164'}",2025-12-20 17:30:00,"{'w': 0.39532126632654235, 'd': 0.264518600465164, 'l': 0.34016013318346905}",l
28952,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.929681', 'a': '0.870768'}",2025-12-28 16:30:00,"{'w': 0.35179026601036617, 'd': 0.32861224370673797, 'l': 0.3195974902827459}",w
28959,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '0'}","{'h': '0.556304', 'a': '0.608309'}",2026-01-01 20:00:00,"{'w': 0.26986442647740605, 'd': 0.42691710042662945, 'l': 0.3032184730959639}",d
