id,isResult,side,h,a,goals,xG,datetime,forecast,result
28783,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '4'}","{'h': '0.519436', 'a': '2.29903'}",2025-08-16 16:30:00,"{'w': 0.06749503539424548, 'd': 0.15531719458581134, 'l': 0.7771877463121537}",l
28792,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '1.78462', 'a': '0.373367'}",2025-08-23 14:00:00,"{'w': 0.7231249930474685, 'd': 0.20637209833957496, 'l': 0.07050290775669428}",l
28800,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '3'}","{'h': '0.943257', 'a': '2.03791'}",2025-08-30 14:00:00,"{'w': 0.16635117015417697, 'd': 0.20643458490496877, 'l': 0.6272142399877508}",l
28809,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '1.19186', 'a': '0.375942'}",2025-09-13 14:00:00,"{'w': 0.5704354069914869, 'd': 0.31292793527491247, 'l': 0.11663665773011167}",l
28820,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '3'}","{'h': '1.5661', 'a': '0.456988'}",2025-09-20 14:00:00,"{'w': 0.6497385211046828, 'd': 0.24523693311572406, 'l': 0.10502454563165271}",l
28835,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.818711', 'a': '1.15951'}",2025-09-27 19:00:00,"{'w': 0.2587241350999249, 'd': 0.30426917561871525, 'l': 0.43700668927896213}",d
28847,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '0.369404', 'a': '1.39158'}",2025-10-05 13:00:00,"{'w': 0.09693882977644942, 'd': 0.2722537046597007, 'l': 0.6308074655342656}",d
28855,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '2', 'a': '0'}","{'h': '1.02481', 'a': '0.676323'}",2025-10-18 14:00:00,"{'w': 0.4304501393920352, 'd': 0.33262963292885694, 'l': 0.2369202276786835}",l
28867,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '3'}","{'h': '2.58132', 'a': '1.54544'}",2025-10-26 13:00:00,"{'w': 0.5997111411227813, 'd': 0.18151439441375677, 'l': 0.21877436068687808}",l
28871,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '3', 'a': '0'}","{'h': '1.91207', 'a': '0.209934'}",2025-11-01 15:00:00,"{'w': 0.7933062912755959, 'd': 0.17292274771605343, 'l': 0.03377095886806097}",l
