id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8260,Erling Haaland,26,2169,22,21.904283575713634,6,4.323696913197637,92,19,1,0,F S,Manchester City,19,18.85960813611746,23.7728256508708,3.3019009958952665
13222,Thiago,26,2212,17,18.374263525009155,1,2.3711535837501287,61,14,5,0,F S,Brentford,11,13.046081580221653,16.014958668500185,2.8900308422744274
11363,Antoine Semenyo,25,2250,13,9.511307599022985,4,2.991684762760997,59,29,6,0,F M,"Bournemouth,Manchester City",12,7.988969901576638,12.810340084135532,3.261102767661214
5555,Dominic Calvert-Lewin,23,1671,10,10.760021528229117,1,1.31724401563406,45,13,1,0,F S,Leeds,8,9.23768382333219,11.817669885233045,1.8871437087655067
8272,João Pedro,26,1913,10,9.3486442938447,4,3.503022337332368,45,24,3,0,F M S,Chelsea,10,9.3486442938447,12.301924277096987,3.4284579791128635
8995,Hugo Ekitike,23,1544,10,10.72939794883132,2,1.7480659149587154,57,16,0,0,F S,Liverpool,10,10.72939794883132,14.879451721906662,4.706073872745037
6552,Bryan Mbeumo,21,1837,9,8.44146752730012,2,3.292125526815653,53,30,3,0,F M,Manchester United,9,8.44146752730012,14.341956458985806,4.151535428129137
8327,Bruno Guimarães,23,2022,9,5.774607993662357,4,3.1487869061529636,32,38,5,0,M S,Newcastle United,7,4.252270318567753,11.55058690533042,7.467195816338062
501,Danny Welbeck,25,1456,8,8.417584732174873,0,0.7385091632604599,34,13,4,0,F S,Brighton,7,6.134078087285161,8.095167364925146,2.704623087309301
1776,Jarrod Bowen,26,2336,8,7.112133089452982,3,3.0830489341169596,61,18,3,0,F M,West Ham,7,6.350964244455099,9.452653218060732,2.2331516910344362
5596,Harry Wilson,25,1986,8,3.7643826361745596,4,3.6400360986590385,54,26,6,0,M S,Fulham,8,3.7643826361745596,7.125305652618408,2.0063939187675714
5735,Jean-Philippe Mateta,23,1938,8,12.90343551337719,0,1.1059113293886185,54,6,2,0,F,Crystal Palace,5,10.619928851723671,12.29112795367837,1.591218525543809
7254,Viktor Gyokeres,25,1671,8,8.567523043602705,0,1.5281192315742373,37,14,4,0,F S,Arsenal,6,7.0451853685081005,10.392588913440704,2.636509619653225
8497,Cole Palmer,15,1030,8,7.301121935248375,1,0.8754104394465685,34,11,3,0,M S,Chelsea,3,3.495277836918831,8.487319506704807,4.519092025235295
8865,Ollie Watkins,25,1946,8,10.833216166123748,1,1.2878158185631037,51,13,1,0,F S,Aston Villa,8,10.833216166123748,12.733452122658491,2.5860112914815545
11356,Enzo Fernández,25,2161,8,9.976766027510166,2,6.633944101631641,52,45,6,0,M S,Chelsea,6,8.45442833006382,21.105117455124855,11.394132737070322
11504,Eli Junior Kroupi,21,880,8,4.322417991235852,0,0.9857953609898686,25,10,3,0,F M S,Bournemouth,8,4.322417991235852,4.465868428349495,1.3288930505514145
12412,Morgan Rogers,26,2330,8,4.57374426536262,5,5.40730369463563,57,34,5,0,F M,Aston Villa,8,4.57374426536262,10.699483281001449,3.3903231509029865
6026,Richarlison,21,1252,7,5.436015439219773,3,2.1589350467547774,36,13,4,0,F M S,Tottenham,7,5.436015439219773,7.483397489413619,1.9664937313646078
6055,Phil Foden,23,1726,7,5.719904579222202,3,4.342932312749326,48,41,4,0,F M S,Manchester City,7,5.719904579222202,16.760854421183467,9.874331025406718
8117,Nick Woltemade,23,1452,7,7.658320881426334,2,1.1433268580585718,30,11,0,0,F S,Newcastle United,6,6.897152043879032,6.225509459152818,1.858545370399952
1228,Bruno Fernandes,23,2002,6,8.880390812642872,12,10.12959623336792,58,79,2,0,M,Manchester United,4,5.835715384222567,16.43678172212094,7.402663603425026
4105,Raúl Jiménez,25,1730,6,9.142891988158226,3,1.6000331416726112,56,20,4,0,F S,Fulham,4,7.62055429816246,9.26071571558714,1.1528965383768082
6544,Lukas Nmecha,20,695,6,6.127009242773056,1,0.7026887126266956,20,3,0,0,F S,Leeds,4,3.8435027077794075,3.5261927768588066,0.9710148423910141
6857,Morgan Gibbs-White,26,2238,6,7.291945479810238,2,2.8713504876941442,55,35,0,0,F M S,Nottingham Forest,5,6.530776642262936,11.01055745407939,3.789850566536188
7080,Matheus Cunha,23,1626,6,4.685290103778243,2,2.3568435199558735,62,22,1,0,F M S,Manchester United,6,4.685290103778243,11.529274627566338,5.959346966817975
9156,Kevin Schade,23,1886,6,8.06106630526483,3,4.003511054441333,41,24,6,1,F M S,Brentford,6,7.299897467717528,13.478783968836069,3.8217435777187347
10746,Jaidon Anthony,25,1706,6,3.3242153404280543,1,1.956873457878828,30,24,4,0,F M S,Burnley,6,3.3242153404280543,6.608879834413528,2.7043436504900455
11974,Benjamin Sesko,21,1092,6,8.255742792971432,1,0.5251399390399456,44,8,1,0,F S,Manchester United,6,8.255742792971432,9.592746756970882,1.3160921968519688
468,Callum Wilson,22,928,5,4.774524813517928,1,0.35384590178728104,27,5,0,0,F M S,West Ham,5,4.774524813517928,3.243381779640913,0.3199837375432253
2203,Emiliano Buendía,24,1165,5,3.1145886639133096,2,2.0304381921887398,35,22,3,0,M S,Aston Villa,5,3.1145886639133096,5.558378849178553,1.778910905122757
2248,Casemiro,24,1784,5,4.463104795664549,2,2.3282075989991426,36,23,6,1,M S,Manchester United,5,4.463104795664549,10.319048661738634,6.711596164852381
5675,Ismaila Sarr,16,1382,5,6.722695246338844,1,1.8981870282441378,27,14,1,0,F M,Crystal Palace,4,5.961526393890381,8.6106031909585,2.1817017402499914
6382,Pedro Neto,26,2003,5,4.5197105929255486,3,5.57582918740809,37,39,2,0,F M S,Chelsea,5,4.5197105929255486,15.033761344850063,7.527124844491482
6681,Harvey Barnes,25,1377,5,6.3161645866930485,0,2.3178466577082872,43,15,0,0,F M S,Newcastle United,5,6.3161645866930485,8.549221346154809,2.1760288681834936
7322,Bukayo Saka,23,1650,5,7.053647196851671,3,5.98243522644043,51,45,1,0,F M S,Arsenal,4,6.2924783593043685,16.217724293470383,7.14957944303751
7526,Martín Zubimendi,27,2295,5,2.587212845683098,1,0.8392688743770123,22,15,4,0,M S,Arsenal,5,2.587212845683098,11.653119809925556,9.904927494004369
7698,Leandro Trossard,23,1536,5,5.484113465063274,5,3.2758772391825914,38,28,1,0,F M S,Arsenal,5,5.484113465063274,10.820439947769046,4.027788028120995
9307,Iliman Ndiaye,20,1725,5,4.085920345038176,2,3.3352103251963854,26,20,2,0,M,Everton,3,2.5635826475918293,9.527368437498808,3.9956246176734567
9662,Dango Ouattara,20,1393,5,5.376962393522263,1,2.512769363820553,31,12,4,0,F M S,Brentford,5,5.376962393522263,7.04472647421062,1.30165746062994
9739,Kiernan Dewsbury-Hall,19,1570,5,2.352466780692339,2,3.5177061893045902,22,22,5,0,M S,Everton,5,2.352466780692339,7.433173045516014,5.559333078563213
9789,Brian Brobbey,21,1120,5,2.9694521576166153,1,0.6139597911387682,20,6,2,0,F S,Sunderland,5,2.9694521576166153,3.618279453366995,0.508546207100153
10741,Marcus Tavernier,22,1792,5,4.86829808820039,3,2.7516236677765846,43,26,3,0,M S,Bournemouth,3,3.345960386097431,9.697968799620867,5.456524170935154
11296,Cody Gakpo,24,1745,5,6.3466490767896175,3,5.318972235545516,55,38,1,0,F M S,Liverpool,5,6.3466490767896175,12.923904366791248,4.010488849133253
11965,Tijjani Reijnders,24,1470,5,4.4121488109230995,2,3.0334676280617714,40,16,2,0,M S,Manchester City,5,4.4121488109230995,12.348645962774754,6.628960287198424
12916,Thierno Barry,26,1529,5,6.6402308363467455,0,0.9004040528088808,31,9,2,0,F S,Everton,5,6.6402308363467455,7.9631411973387,1.969210745766759
12963,Evanilson,24,1865,5,8.799173280596733,0,1.9484748095273972,52,22,1,0,F S,Bournemouth,5,8.799173280596733,11.713464260101318,2.710381902754307
13729,Zian Flemming,18,836,5,4.840579175390303,0,0.31084514781832695,26,3,3,0,F S,Burnley,3,3.3182414965704083,3.2485568737611175,0.8334494810551405
1250,Mohamed Salah,18,1546,4,6.514106601476669,6,4.81777423620224,48,41,1,0,F M S,Liverpool,3,5.752937763929367,10.900660067796707,3.5146931186318398
5304,Mikel Merino,21,977,4,4.551519326865673,3,2.2901399955153465,21,12,1,0,F M S,Arsenal,4,4.551519326865673,7.0440468192100525,3.1536439023911953
5553,Declan Rice,26,2243,4,3.5467025320976973,4,6.294226221740246,34,51,2,0,D M S,Arsenal,4,3.5467025320976973,16.021390937268734,10.63165551610291
7148,Wilson Isidor,23,1019,4,4.515784606337547,0,0,36,0,2,0,F S,Sunderland,4,4.515784606337547,4.857008993625641,0.5651923306286335
7218,Cristian Romero,21,1714,4,1.7972017470747232,1,1.6926744878292084,15,10,8,2,D S,Tottenham,4,1.7972017470747232,5.518742011860013,3.812605606392026
7365,Lucas Paquetá,18,1544,4,2.440835335291922,1,3.011969303712249,23,23,5,1,F M,West Ham,2,0.9184976601973176,4.265645559877157,1.5286574847996235
8378,Malick Thiaw,23,1944,4,4.166260367259383,0,0.7824701182544231,21,5,3,0,D S,Newcastle United,4,4.166260367259383,5.642692341469228,5.1392258098348975
8397,Florian Wirtz,25,1899,4,5.906989771872759,2,3.980567004531622,41,44,1,0,F M S,Liverpool,4,5.906989771872759,16.21584977582097,8.642282004468143
8706,Eberechi Eze,22,1169,4,2.2433939073234797,2,1.985984195023775,34,10,1,0,F M S,"Arsenal,Crystal Palace",4,2.2433939073234797,6.702204000204802,3.2789736967533827
9492,Crysencio Summerville,21,1620,4,3.824937582015991,1,1.322819554246962,34,16,3,0,F M S,West Ham,4,3.824937582015991,6.145262464880943,2.087115140631795
9749,Donyell Malen,21,600,4,4.73893653601408,1,0.36938193812966347,26,7,0,0,F M S,Aston Villa,4,4.73893653601408,6.387579720467329,1.917095586657524
9788,Dominik Szoboszlai,24,2156,4,3.533411804586649,2,4.143711246550083,48,44,5,1,D M,Liverpool,4,2.7722429521381855,13.610519856214523,9.794039998203516
10050,Micky van de Ven,24,2153,4,2.423757927492261,1,0.9611182175576687,15,4,6,0,D,Tottenham,4,2.423757927492261,4.926740540191531,4.617803229019046
10697,Ryan Gravenberch,24,2126,4,1.0563682718202472,2,1.9204957820475101,27,21,4,0,M,Liverpool,4,1.0563682718202472,10.503693837672472,8.69951950572431
10751,Brenden Aaronson,25,1685,4,4.6817920897156,3,3.9036607705056667,32,23,1,0,F M S,Leeds,4,4.6817920897156,10.121458439156413,2.3262350894510746
11966,Noah Okafor,23,1298,4,4.759005755186081,0,1.3100237771868706,26,13,3,0,F M S,Leeds,4,4.759005755186081,8.000808700919151,2.69681229442358
1653,Michael Keane,22,1861,3,3.1749278642237186,0,0.097673699259758,18,1,0,1,D S,Everton,3,3.1749278642237186,4.005630404688418,3.10913806874305
5613,Gabriel,21,1807,3,3.1688173543661833,3,2.0966507494449615,16,5,2,0,D S,Arsenal,3,3.1688173543661833,6.207956690341234,5.728796362876892
6456,Callum Hudson-Odoi,24,1478,3,2.462051371112466,1,3.083422467112541,26,32,0,0,M S,Nottingham Forest,3,2.462051371112466,9.61503990739584,4.9133218713104725
6615,Trevoh Chalobah,25,2200,3,1.3682188214734197,0,0.15989681333303452,13,3,3,1,D,Chelsea,3,1.3682188214734197,10.81077590584755,10.679102875292301
7208,Samuel Chukwueze,13,621,3,1.4387551825493574,4,2.3921956084668636,16,16,0,0,M S,Fulham,3,1.4387551825493574,4.916228488087654,1.8102157888934016
7230,Emile Smith-Rowe,26,1251,3,2.9577385000884533,0,1.057345075532794,25,13,1,0,M S,Fulham,3,2.9577385000884533,5.8023066483438015,2.8574266396462917
7498,Lyle Foster,19,1039,3,2.5955655314028263,1,0.8142501264810562,15,8,3,0,F M S,Burnley,3,2.5955655314028263,4.096010347828269,0.9086765106767416
7723,John McGinn,22,1663,3,2.3858819976449013,2,1.9973520254716277,18,22,3,0,M S,Aston Villa,3,2.3858819976449013,5.81129614263773,2.51037806738168
7768,Mason Mount,17,827,3,1.7134401425719261,0,1.3764615170657635,18,14,0,0,M S,Manchester United,3,1.7134401425719261,4.889510989189148,2.9160353913903236
8094,Mathis Cherki,21,1084,3,2.1557452976703644,7,6.707197193056345,28,34,1,0,F M S,Manchester City,3,2.1557452976703644,11.826725214719772,6.228714870288968
8150,Anthony Gordon,20,1374,3,6.013576906174421,2,3.504686549305916,34,21,3,1,F S,Newcastle United,1,4.491239201277494,9.14059179648757,3.7644800003618
8211,Amine Adli,22,811,3,3.4443701934069395,1,1.053285313770175,17,14,2,0,M S,Bournemouth,3,3.4443701934069395,5.611560434103012,1.8663455806672573
8288,Tomas Soucek,23,1171,3,3.3066168650984764,0,0.618971997871995,13,7,1,1,M S,West Ham,3,3.3066168650984764,4.687380537390709,3.0481781251728535
8651,Enzo Le Fée,25,2050,3,3.573987737298012,4,2.274034312926233,22,31,5,0,F M S,Sunderland,1,1.2905180044472218,6.330437360331416,4.153700318187475
8864,Matthew Cash,24,2143,3,1.0914580300450325,2,2.4275558358058333,24,22,5,0,D,Aston Villa,3,1.0914580300450325,6.2313505709171295,4.365488309413195
9451,Chimuanya Ugochukwu,25,1756,3,2.2985972836613655,1,0.399788212031126,17,8,1,1,M S,Burnley,3,2.2985972836613655,6.0577617436647415,4.039198614656925
9453,Moisés Caicedo,21,1775,3,1.2445463798940182,1,2.0080485120415688,18,12,8,1,M S,Chelsea,3,1.2445463798940182,11.227437371388078,9.60876620002091
9780,Mathys Tel,19,621,3,1.8667949941009283,0,0.35957776568830013,21,8,0,0,F M S,Tottenham,3,1.8667949941009283,2.852469688281417,0.8658859319984913
9910,Anton Stach,21,1712,3,2.233123918995261,3,4.672012981027365,38,42,3,0,M S,Leeds,3,2.233123918995261,7.429413115605712,4.422995246946812
