season_x,GW,team_x,opp_team_name,opponent_score
2016-17,1,,Chelsea,2.0
2016-17,1,,Spurs,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Southampton,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Stoke,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Watford,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Leicester,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Swansea,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Everton,1.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Stoke,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Everton,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Everton,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Southampton,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Southampton,1.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Watford,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Everton,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Hull,2.0
2016-17,1,,West Ham,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Leicester,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Middlesbrough,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Burnley,0.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Watford,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Burnley,0.0
2016-17,1,,Watford,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Everton,1.0
2016-17,1,,Leicester,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Spurs,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Middlesbrough,1.0
2016-17,1,,Burnley,0.0
2016-17,1,,Watford,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Leicester,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Swansea,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Leicester,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Spurs,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Man City,2.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Hull,2.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Everton,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Burnley,0.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Chelsea,2.0
2016-17,1,,West Brom,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Southampton,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Watford,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Swansea,1.0
2016-17,1,,Chelsea,2.0
2016-17,1,,West Ham,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,West Ham,1.0
2016-17,1,,Hull,2.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Watford,1.0
2016-17,1,,Burnley,0.0
2016-17,1,,West Ham,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Southampton,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Watford,1.0
2016-17,1,,Man City,2.0
2016-17,1,,Watford,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Middlesbrough,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Hull,2.0
2016-17,1,,West Ham,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Leicester,1.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Spurs,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,West Ham,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,Chelsea,2.0
2016-17,1,,Crystal Palace,0.0
2016-17,1,,West Brom,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Sunderland,1.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Watford,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Liverpool,4.0
2016-17,1,,Bournemouth,1.0
2016-17,1,,Everton,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Spurs,1.0
2016-17,1,,Swansea,1.0
2016-17,1,,Arsenal,3.0
2016-17,1,,Southampton,1.0
2016-17,1,,Man Utd,3.0
2016-17,1,,Watford,1.0
2016-17,1,,West Brom,1.0
2016-17,1,,Hull,2.0
2016-17,1,,West Brom,1.0
